bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
22646,51,26.28,1,0,233.92,11.42
13718,67,25.0,0,1,233.92,12.0
15438,52,25.95,1,0,233.92,11.56
19735,42,25.47,1,0,233.93,11.78
6934,45,21.02,0,1,233.93,14.27
17972,27,25.02,1,0,233.95,11.99
13342,49,24.2,0,1,233.95,12.4
20601,40,25.55,1,0,233.97,11.74
18359,36,24.77,1,0,233.97,12.11
20822,43,26.75,1,0,233.98,11.21
20391,49,27.92,1,0,234.0,10.74
20760,46,26.3,1,0,234.0,11.41
22439,46,26.68,1,0,234.02,11.24
7656,57,27.03,1,0,234.02,11.1
11508,34,24.55,1,0,234.02,12.22
17233,45,26.32,1,0,234.02,11.4
15500,57,24.55,0,1,234.03,12.22
21128,51,27.03,1,0,234.03,11.1
25196,30,26.48,1,0,234.03,11.33
16056,56,26.5,0,1,234.03,11.32
31269,31,27.27,0,1,234.05,11.0
15258,40,27.23,1,0,234.07,11.02
15183,28,27.23,1,0,234.07,11.02
30613,38,26.22,0,1,234.07,11.44
21562,60,26.32,0,1,234.07,11.4
13201,58,26.35,0,1,234.07,11.39
19805,40,26.75,1,0,234.07,11.21
8954,44,23.6,0,1,234.08,12.71
20420,69,26.7,0,1,234.08,11.24
30983,36,26.82,1,0,234.08,11.19
23205,70,26.3,0,1,234.1,11.41
23149,51,26.73,1,0,234.1,11.22
18244,57,25.3,0,1,234.1,11.86
29354,32,27.07,0,1,234.1,11.08
19262,40,26.37,1,0,234.1,11.38
21970,52,26.33,1,0,234.12,11.39
20483,55,27.87,1,0,234.12,10.76
15129,53,24.1,0,1,234.12,12.45
21487,49,26.3,1,0,234.13,11.41
22261,60,26.68,0,1,234.15,11.24
22842,56,26.9,1,0,234.15,11.15
7363,46,23.6,0,1,234.17,12.71
11510,46,24.8,0,1,234.17,12.1
23101,50,27.2,1,0,234.17,11.03
22116,51,27.57,1,0,234.17,10.88
21630,56,25.88,1,0,234.17,11.59
21284,48,26.3,1,0,234.17,11.41
15200,27,24.77,1,0,234.18,12.11
10090,29,23.85,0,1,234.18,12.58
26218,22,28.48,1,0,234.18,10.53
17986,33,27.05,1,0,234.22,11.09
15177,55,24.75,0,1,234.22,12.12
25198,51,25.88,0,1,234.22,11.59
22114,52,25.95,1,0,234.22,11.56
19125,56,26.87,1,0,234.22,11.16
22691,51,27.95,1,0,234.23,10.73
31967,45,26.9,1,0,234.23,11.15
22454,50,26.87,1,0,234.25,11.16
21235,63,28.07,0,1,234.25,10.69
19053,56,28.07,0,1,234.27,10.69
19126,62,26.55,0,1,234.27,11.3
26377,31,29.37,0,1,234.27,10.21
25798,32,29.35,0,1,234.27,10.22
18786,61,25.58,1,0,234.3,11.73
12430,50,26.52,0,1,234.3,11.31
22653,56,26.22,1,0,234.32,11.44
16620,40,24.77,1,0,234.32,12.11
17953,42,26.53,1,0,234.32,11.31
21955,53,28.12,1,0,234.33,10.67
19356,39,25.37,1,0,234.33,11.82
19806,40,26.73,1,0,234.33,11.22
20885,46,26.68,1,0,234.33,11.24
29654,49,27.73,1,0,234.33,10.82
23409,67,26.98,0,1,234.35,11.12
29954,40,26.6,0,1,234.35,11.28
15235,37,26.6,1,0,234.35,11.28
22130,69,27.27,0,1,234.35,11.0
